,time,value
809,1621155137421,32
810,1621155137420,37
811,1621155137421,26
812,1621155137421,49
813,1621155137432,22
814,1621155137432,23
816,1621155137433,25
817,1621155137433,40
818,1621155137434,56
819,1621155137434,68
820,1621155137434,76
821,1621155137434,75
822,1621155137432,26
824,1621155137431,28
825,1621155137433,44
827,1621155137451,77
828,1621155137451,85
829,1621155137491,75
830,1621155137492,71
831,1621155137492,58
832,1621155137491,80
833,1621155137496,51
834,1621155137496,49
835,1621155137496,38
836,1621155137497,39
837,1621155137496,45
838,1621155137497,43
839,1621155137502,41
840,1621155137507,48
841,1621155137508,56
842,1621155137508,51
843,1621155137508,57
844,1621155137508,51
845,1621155137508,57
846,1621155137509,64
847,1621155137509,67
848,1621155137509,65
849,1621155137509,60
850,1621155137509,59
851,1621155137509,64
852,1621155137519,32
853,1621155137520,29
854,1621155137519,64
855,1621155137519,67
856,1621155137524,28
857,1621155137523,41
858,1621155137523,42
859,1621155137526,83
860,1621155137525,68
861,1621155137526,81
862,1621155137519,50
863,1621155137528,71
864,1621155137528,49
865,1621155137528,27
866,1621155137519,70
867,1621155137528,59
868,1621155137530,25
869,1621155137530,44
870,1621155137530,4
871,1621155137525,38
872,1621155137530,8
873,1621155137532,37
874,1621155137532,44
875,1621155137530,9
876,1621155137530,53
877,1621155137562,7
878,1621155137562,8
879,1621155137562,26
880,1621155137563,48
881,1621155137562,16
882,1621155137563,64
883,1621155137562,24
884,1621155137562,6
885,1621155137562,24
886,1621155137563,61
887,1621155137562,25
888,1621155137561,32
889,1621155137582,36
890,1621155137582,17
891,1621155137583,36
892,1621155137582,50
893,1621155137583,50
894,1621155137582,41
895,1621155137583,45
896,1621155137582,22
897,1621155137582,42
898,1621155137582,25
899,1621155137583,41
900,1621155137582,44
901,1621155137581,52
902,1621155137600,39
903,1621155137601,6
904,1621155137605,7
905,1621155137606,33
906,1621155137607,64
907,1621155137607,38
908,1621155137607,53
909,1621155137601,25
910,1621155137607,28
911,1621155137601,40
912,1621155137607,58
913,1621155137600,43
914,1621155137635,52
915,1621155137636,39
916,1621155137636,32
917,1621155137636,40
918,1621155137636,45
919,1621155137636,51
920,1621155137637,38
921,1621155137635,48
922,1621155137636,35
923,1621155137636,51
924,1621155137637,37
925,1621155137636,41
926,1621155137635,34
927,1621155137657,36
928,1621155137657,77
929,1621155137657,81
930,1621155137657,52
931,1621155137657,33
932,1621155137658,36
933,1621155137658,28
934,1621155137658,29
935,1621155137658,28
936,1621155137657,59
937,1621155137657,33
938,1621155137657,34
939,1621155137676,34
940,1621155137676,34
941,1621155137676,32
942,1621155137676,13
943,1621155137676,17
944,1621155137676,20
945,1621155137677,36
946,1621155137677,32
947,1621155137676,35
948,1621155137676,22
949,1621155137677,28
950,1621155137675,28
951,1621155137694,24
952,1621155137695,42
953,1621155137695,44
954,1621155137695,21
955,1621155137695,7
956,1621155137695,3
957,1621155137695,20
958,1621155137695,11
959,1621155137694,28
960,1621155137695,9
961,1621155137695,37
962,1621155137694,27
963,1621155137695,11
964,1621155137732,43
965,1621155137732,56
966,1621155137732,58
967,1621155137732,40
968,1621155137732,24
969,1621155137732,28
970,1621155137732,28
971,1621155137732,34
972,1621155137733,43
973,1621155137733,43
974,1621155137732,38
975,1621155137731,34
976,1621155137733,41
977,1621155137751,59
978,1621155137751,33
979,1621155137751,59
980,1621155137751,48
983,1621155137751,51
984,1621155137750,67
986,1621155137751,12
987,1621155137751,23
988,1621155137751,54
989,1621155137750,55
990,1621155137818,37
991,1621155137819,12
992,1621155137818,6
993,1621155137824,17
994,1621155137824,35
995,1621155137818,12
996,1621155137824,19
997,1621155137819,22
998,1621155137824,40
999,1621155137829,21
1000,1621155137830,20
1001,1621155137831,21
1002,1621155137831,23
1003,1621155137825,28
1004,1621155137832,20
1005,1621155137832,36
1006,1621155137832,10
1007,1621155137818,48
1008,1621155137837,22
1009,1621155137838,37
1010,1621155137838,33
1011,1621155137838,17
1012,1621155137838,10
1013,1621155137832,35
1014,1621155137838,32
1015,1621155137839,26
1016,1621155137839,32
1017,1621155137838,27
1018,1621155137838,28
1019,1621155137836,18
1020,1621155137844,67
1021,1621155137845,71
1022,1621155137845,52
1023,1621155137845,44
1024,1621155137846,52
1025,1621155137848,55
1026,1621155137848,27
1027,1621155137845,40
1028,1621155137848,49
1029,1621155137850,67
1030,1621155137850,64
1031,1621155137849,51
1032,1621155137844,26
1033,1621155137852,39
1034,1621155137850,43
1035,1621155137844,43
1036,1621155137845,60
1037,1621155137848,27
1038,1621155137838,20
1039,1621155137850,49
1040,1621155137845,42
1041,1621155137881,35
1042,1621155137881,17
1043,1621155137881,17
1044,1621155137881,37
1045,1621155137881,74
1046,1621155137882,54
1047,1621155137882,64
1048,1621155137882,52
1049,1621155137882,44
1050,1621155137881,28
1051,1621155137881,76
1052,1621155137918,33
1053,1621155137919,28
1054,1621155137919,43
1055,1621155137919,52
1056,1621155137919,57
1057,1621155137919,66
1058,1621155137920,57
1059,1621155137919,38
1060,1621155137919,33
1061,1621155137919,32
1062,1621155137918,32
1063,1621155137925,39
1064,1621155137925,44
1065,1621155137926,44
1066,1621155137926,60
1067,1621155137919,66
1068,1621155137925,40
1069,1621155137926,59
1070,1621155137926,53
1071,1621155137920,45
1072,1621155137925,39
1073,1621155137926,73
1074,1621155137926,77
1075,1621155137926,82
1076,1621155137925,42
1077,1621155137925,40
1078,1621155137956,90
1079,1621155137956,77
1080,1621155137956,70
1081,1621155137956,60
1082,1621155137957,80
1083,1621155137957,52
1084,1621155137956,83
1085,1621155137957,66
1086,1621155137957,73
1087,1621155137957,65
1088,1621155137957,51
1089,1621155137957,44
1090,1621155138011,22
1091,1621155138011,25
1092,1621155138011,36
1093,1621155138011,42
1094,1621155138011,39
1095,1621155138012,27
1096,1621155138012,19
1097,1621155138012,25
1098,1621155138012,19
1099,1621155138011,25
1100,1621155138012,26
1101,1621155138012,18
1102,1621155138049,37
1103,1621155138050,38
1104,1621155138050,11
1105,1621155138050,4
1106,1621155138050,7
1107,1621155138050,22
1108,1621155138051,22
1109,1621155138050,8
1110,1621155138049,36
1111,1621155138050,34
1112,1621155138049,13
1113,1621155138050,27
1114,1621155138056,21
1115,1621155138056,25
1116,1621155138057,26
1117,1621155138057,38
1118,1621155138057,26
1119,1621155138057,25
1120,1621155138057,34
1121,1621155138056,5
1122,1621155138057,34
1123,1621155138050,6
1124,1621155138057,36
1125,1621155138057,41
1126,1621155138056,1
1127,1621155138069,25
1128,1621155138069,20
1129,1621155138069,33
1130,1621155138069,37
1131,1621155138070,38
1132,1621155138069,16
1133,1621155138069,16
1134,1621155138070,36
1135,1621155138069,24
1136,1621155138070,36
1137,1621155138069,36
1138,1621155138068,25
1139,1621155138069,24
1140,1621155138086,40
1141,1621155138086,24
1142,1621155138087,18
1143,1621155138087,23
1144,1621155138087,20
1145,1621155138087,28
1146,1621155138087,34
1147,1621155138087,21
1148,1621155138086,38
1149,1621155138086,43
1150,1621155138087,16
1151,1621155138087,40
1152,1621155138142,24
1153,1621155138142,8
1154,1621155138142,9
1158,1621155138144,80
1159,1621155138144,34
1160,1621155138144,56
1161,1621155138142,-4
1162,1621155138144,21
1163,1621155138144,8
1164,1621155138142,-5
1165,1621155138142,18
1166,1621155138150,87
1167,1621155138151,73
1168,1621155138151,115
1169,1621155138151,101
1170,1621155138151,72
1171,1621155138152,71
1172,1621155138151,129
1173,1621155138150,88
1174,1621155138151,74
1175,1621155138151,84
1176,1621155138151,65
1177,1621155138151,70
1178,1621155138151,86
1179,1621155138209,74
1180,1621155138210,76
1181,1621155138210,66
1182,1621155138212,20
1183,1621155138211,59
1184,1621155138211,70
1185,1621155138210,75
1186,1621155138212,20
1187,1621155138211,41
1188,1621155138212,35
1189,1621155138211,45
1190,1621155138212,27
1191,1621155138211,69
1192,1621155138212,28
1193,1621155138212,22
1194,1621155138213,42
1195,1621155138211,38
1196,1621155138215,44
1197,1621155138212,26
1198,1621155138210,74
1199,1621155138210,66
1200,1621155138211,28
1201,1621155138211,52
1202,1621155138211,48
1215,1621155138242,28
1216,1621155138243,34
1217,1621155138243,32
1218,1621155138243,35
1219,1621155138243,56
1220,1621155138243,50
1222,1621155138410,19
1223,1621155138410,-9
1224,1621155138409,38
1225,1621155138410,29
1226,1621155138412,-20
1227,1621155138412,-20
1228,1621155138410,6
1229,1621155138414,1
1230,1621155138413,-5
1231,1621155138415,-10
1232,1621155138416,-4
1233,1621155138416,-18
1234,1621155138418,9
1235,1621155138418,7
1236,1621155138418,18
1237,1621155138417,10
1238,1621155138555,56
1239,1621155138555,26
1240,1621155138556,32
1241,1621155138556,37
1242,1621155138556,41
1243,1621155138555,41
1244,1621155138557,52
1245,1621155138555,28
1246,1621155138554,33
1247,1621155138555,34
1248,1621155138575,57
1249,1621155138576,33
1250,1621155138575,38
1251,1621155138576,40
1252,1621155138575,53
1253,1621155138576,49
1254,1621155138576,51
1255,1621155138576,51
1256,1621155138576,72
1257,1621155138576,41
1258,1621155138576,40
1259,1621155138575,58
1260,1621155138576,65
1261,1621155138594,44
1262,1621155138594,56
1263,1621155138594,68
1264,1621155138594,58
1265,1621155138595,51
1266,1621155138595,38
1267,1621155138595,20
1268,1621155138594,49
1269,1621155138595,21
1270,1621155138594,48
1271,1621155138595,50
1272,1621155138595,52
1273,1621155138595,37
1274,1621155138649,19
1275,1621155138649,23
1276,1621155138649,52
1277,1621155138649,48
1278,1621155138649,37
1279,1621155138649,38
1280,1621155138649,45
1281,1621155138650,60
1282,1621155138649,44
1283,1621155138648,54
1284,1621155138649,37
1285,1621155138649,37
1286,1621155138655,69
1287,1621155138655,58
1288,1621155138656,36
1289,1621155138656,12
1291,1621155138656,27
1292,1621155138657,48
1293,1621155138658,49
1295,1621155138656,33
1296,1621155138656,28
1298,1621155138656,44
1299,1621155138656,17
1300,1621155138669,37
1301,1621155138669,20
1302,1621155138669,10
1303,1621155138669,22
1304,1621155138669,48
1305,1621155138670,36
1306,1621155138670,29
1307,1621155138670,22
1308,1621155138671,24
1309,1621155138670,38
1310,1621155138671,38
1311,1621155138670,41
1312,1621155138724,51
1313,1621155138724,36
1314,1621155138726,23
1315,1621155138723,55
1316,1621155138728,25
1317,1621155138728,34
1318,1621155138728,38
1319,1621155138728,24
1320,1621155138731,11
1321,1621155138730,9
1322,1621155138731,24
1323,1621155138730,25
1324,1621155138731,42
1325,1621155138734,64
1326,1621155138734,58
1327,1621155138734,42
1328,1621155138734,71
1329,1621155138735,27
1330,1621155138734,68
1331,1621155138739,4
1332,1621155138741,36
1333,1621155138739,16
1334,1621155138741,32
1335,1621155138738,7
1336,1621155138735,25
1337,1621155138738,20
1338,1621155138761,44
1339,1621155138762,23
1340,1621155138762,39
1341,1621155138761,18
1342,1621155138762,12
1343,1621155138761,33
1344,1621155138764,44
1345,1621155138765,50
1346,1621155138761,35
1347,1621155138767,54
1348,1621155138767,50
1349,1621155138767,40
1350,1621155138767,25
1351,1621155138767,21
1352,1621155138766,50
1353,1621155138765,42
1354,1621155138770,48
1355,1621155138770,41
1356,1621155138767,27
1357,1621155138761,37
1358,1621155138770,45
1359,1621155138769,40
1360,1621155138770,43
1361,1621155138766,38
1362,1621155138800,56
1363,1621155138800,41
1364,1621155138800,28
1365,1621155138800,26
1366,1621155138800,33
1367,1621155138801,38
1368,1621155138801,35
1369,1621155138801,43
1370,1621155138801,58
1371,1621155138800,57
1372,1621155138801,51
1373,1621155138800,25
1374,1621155138800,32
1375,1621155138820,66
1376,1621155138820,50
1377,1621155138821,36
1378,1621155138821,28
1379,1621155138821,26
1380,1621155138821,45
1381,1621155138821,48
1382,1621155138820,57
1383,1621155138820,67
1384,1621155138821,43
1385,1621155138821,41
1386,1621155138821,33
1387,1621155138838,43
1388,1621155138838,50
1389,1621155138839,57
1390,1621155138839,56
1391,1621155138839,56
1392,1621155138839,50
1393,1621155138839,43
1394,1621155138839,43
1395,1621155138839,48
1396,1621155138839,59
1397,1621155138839,42
1398,1621155138839,58
1399,1621155138839,59
1400,1621155138874,51
1401,1621155138874,53
1402,1621155138874,53
1403,1621155138874,54
1404,1621155138875,59
1405,1621155138875,60
1406,1621155138875,58
1407,1621155138875,41
