,time,signals,value
450,1621155136535,RAW,50
451,1621155136535,RAW,48
452,1621155136535,RAW,50
453,1621155136539,RAW,34
454,1621155136539,RAW,42
455,1621155136541,RAW,65
456,1621155136541,RAW,71
457,1621155136541,RAW,59
458,1621155136538,RAW,37
459,1621155136545,RAW,53
460,1621155136545,RAW,53
461,1621155136547,RAW,44
462,1621155136549,RAW,41
463,1621155136549,RAW,49
464,1621155136550,RAW,55
465,1621155136552,RAW,37
466,1621155136552,RAW,26
467,1621155136552,RAW,40
468,1621155136553,RAW,58
469,1621155136553,RAW,76
470,1621155136552,RAW,27
471,1621155136555,RAW,80
472,1621155136556,RAW,44
473,1621155136555,RAW,66
474,1621155136551,RAW,52
475,1621155136558,RAW,27
476,1621155136559,RAW,23
477,1621155136559,RAW,25
478,1621155136559,RAW,25
479,1621155136559,RAW,25
480,1621155136558,RAW,28
481,1621155136558,RAW,33
482,1621155136561,RAW,37
483,1621155136564,RAW,5
484,1621155136563,RAW,6
485,1621155136562,RAW,36
486,1621155136566,RAW,8
487,1621155136565,RAW,11
488,1621155136569,RAW,-19
489,1621155136569,RAW,18
490,1621155136569,RAW,59
491,1621155136569,RAW,58
492,1621155136568,RAW,-12
493,1621155136569,RAW,3
494,1621155136571,RAW,36
495,1621155136568,RAW,-3
496,1621155136563,RAW,28
497,1621155136571,RAW,21
498,1621155136563,RAW,25
499,1621155136571,RAW,43
500,1621155136569,RAW,24
501,1621155136573,RAW,56
502,1621155136573,RAW,54
503,1621155136563,RAW,34
504,1621155136568,RAW,-2
505,1621155136575,RAW,49
506,1621155136563,RAW,28
507,1621155136563,RAW,12
508,1621155136577,RAW,49
509,1621155136577,RAW,56
510,1621155136578,PITCH,2
511,1621155136578,RAW,34
512,1621155136578,ROLL,112
513,1621155136581,RAW,21
514,1621155136581,RAW,64
515,1621155136581,RAW,35
516,1621155136578,YAW,186
517,1621155136583,RAW,55
518,1621155136583,RAW,53
519,1621155136584,RAW,43
520,1621155136582,RAW,43
521,1621155136584,RAW,37
522,1621155136586,RAW,35
523,1621155136586,RAW,29
524,1621155136581,RAW,45
525,1621155136587,RAW,6
526,1621155136587,RAW,19
527,1621155136589,RAW,33
528,1621155136589,RAW,28
529,1621155136590,RAW,20
530,1621155136590,RAW,12
531,1621155136590,RAW,26
532,1621155136589,RAW,19
533,1621155136587,RAW,6
534,1621155136592,RAW,11
535,1621155136586,RAW,34
536,1621155136581,RAW,67
537,1621155136592,RAW,16
538,1621155136592,RAW,19
539,1621155136592,RAW,19
540,1621155136587,RAW,36
541,1621155136578,RAW,19
542,1621155136587,RAW,22
543,1621155136596,RAW,17
544,1621155136596,RAW,20
545,1621155136577,RAW,42
546,1621155136563,RAW,32
547,1621155136594,RAW,20
548,1621155136561,RAW,33
549,1621155136646,RAW,34
550,1621155136645,RAW,16
551,1621155136646,RAW,22
552,1621155136648,RAW,42
553,1621155136650,RAW,57
554,1621155136650,RAW,51
555,1621155136652,RAW,64
556,1621155136652,RAW,64
557,1621155136655,RAW,59
558,1621155136655,RAW,52
559,1621155136656,RAW,64
560,1621155136655,RAW,68
561,1621155136658,RAW,86
562,1621155136659,RAW,90
563,1621155136658,RAW,80
564,1621155136659,RAW,93
565,1621155136660,RAW,101
566,1621155136659,RAW,97
567,1621155136660,RAW,97
568,1621155136655,RAW,65
569,1621155136665,RAW,98
570,1621155136665,RAW,105
571,1621155136668,RAW,72
572,1621155136667,RAW,82
573,1621155136668,RAW,76
574,1621155136669,RAW,85
575,1621155136671,RAW,61
576,1621155136672,RAW,44
577,1621155136672,RAW,52
578,1621155136673,RAW,68
579,1621155136674,RAW,32
580,1621155136673,RAW,68
581,1621155136674,RAW,43
582,1621155136674,RAW,58
583,1621155136676,RAW,39
584,1621155136673,RAW,72
585,1621155136700,RAW,38
586,1621155136700,RAW,41
587,1621155136701,RAW,44
588,1621155136700,RAW,49
589,1621155136703,RAW,51
590,1621155136703,RAW,58
591,1621155136703,RAW,38
592,1621155136704,RAW,25
593,1621155136703,RAW,56
594,1621155136705,RAW,26
595,1621155136706,RAW,41
596,1621155136706,RAW,43
597,1621155136708,RAW,40
598,1621155136708,RAW,27
599,1621155136708,RAW,33
600,1621155136708,RAW,28
601,1621155136706,RAW,35
602,1621155136708,RAW,38
603,1621155136711,RAW,54
604,1621155136710,RAW,44
605,1621155136711,RAW,53
606,1621155136712,RAW,44
607,1621155136713,RAW,26
608,1621155136713,RAW,28
609,1621155136711,RAW,48
610,1621155136712,RAW,34
611,1621155136738,RAW,38
612,1621155136739,RAW,41
613,1621155136739,RAW,33
614,1621155136741,RAW,26
615,1621155136741,RAW,38
616,1621155136742,RAW,38
617,1621155136742,RAW,29
618,1621155136742,RAW,38
619,1621155136742,RAW,43
620,1621155136744,RAW,49
621,1621155136742,RAW,43
622,1621155136741,RAW,22
623,1621155136760,RAW,58
624,1621155136759,RAW,48
625,1621155136760,RAW,66
626,1621155136760,RAW,53
627,1621155136762,RAW,36
628,1621155136762,RAW,17
629,1621155136764,RAW,5
630,1621155136765,RAW,37
631,1621155136765,RAW,35
632,1621155136766,RAW,26
633,1621155136764,RAW,10
634,1621155136765,RAW,32
635,1621155136775,RAW,34
636,1621155136776,RAW,41
637,1621155136776,RAW,49
638,1621155136776,RAW,44
639,1621155136776,RAW,39
640,1621155136776,RAW,57
641,1621155136776,RAW,60
642,1621155136776,RAW,41
643,1621155136776,RAW,54
644,1621155136776,RAW,39
645,1621155136777,RAW,33
646,1621155136777,RAW,22
647,1621155136775,RAW,27
648,1621155136813,RAW,22
649,1621155136813,RAW,41
650,1621155136813,RAW,52
651,1621155136814,RAW,55
652,1621155136814,RAW,50
653,1621155136813,RAW,32
654,1621155136814,RAW,13
655,1621155136813,RAW,57
656,1621155136814,RAW,35
657,1621155136813,RAW,52
658,1621155136814,RAW,51
659,1621155136814,RAW,50
660,1621155136832,RAW,1
661,1621155136832,RAW,5
662,1621155136832,RAW,2
663,1621155136832,RAW,3
664,1621155136833,RAW,4
665,1621155136833,RAW,-4
666,1621155136833,RAW,52
667,1621155136833,RAW,6
668,1621155136832,RAW,0
669,1621155136832,RAW,-3
670,1621155136832,RAW,6
671,1621155136833,RAW,27
672,1621155136833,RAW,58
673,1621155136867,RAW,67
674,1621155136867,RAW,72
675,1621155136868,RAW,50
676,1621155136868,RAW,28
677,1621155136868,RAW,49
678,1621155136868,RAW,28
679,1621155136868,RAW,52
