,DELTA,LOALPHA,HIBETA,MIDGAMMA,ATTENTION,MEDITATION,APPRECIATION,MENTAL_EFFORT,LOGAMMA,FAMILIARITY,LOBETA,THETA,HIALPHA,time
183,71102,6967,4501,4112,24,44,2,0,17317,0,4762,108018,4536,1621155385310
184,85090,18014,14116,2874,21,41,1,0,18710,0,6268,93855,5106,1621155386304
185,14953,1232,5212,2927,37,40,1,0,12451,0,6531,9477,3039,1621155388306
186,64365,4505,9155,8597,54,54,2,0,14460,0,3455,15425,7494,1621155389301
187,5004,3984,3436,843,54,64,1,0,6020,0,4720,16256,10460,1621155390297
188,22577,5833,5587,4120,41,77,2,0,1110,0,4564,9491,5851,1621155392282
189,20650,9524,4591,2513,30,77,2,0,5326,0,10791,24795,8483,1621155393276
190,19829,9881,4639,1743,27,70,2,0,3010,0,7231,40251,9153,1621155394305
191,3325,5416,3060,2894,26,63,2,0,4973,0,4779,15273,3833,1621155396289
192,18749,1776,3204,1251,37,56,2,0,1053,0,657,6846,768,1621155397269
193,12140,1348,2391,1091,38,44,2,0,2891,0,1890,20740,1637,1621155398281
194,31042,2187,1476,2967,24,43,2,0,1321,0,4077,18090,2999,1621155401280
195,53971,4129,2260,1777,24,53,2,0,2945,0,3687,16518,2089,1621155402256
196,42718,2305,3365,1802,11,57,2,0,1627,0,3223,33536,6771,1621155404263
197,50934,8633,4591,1279,10,57,2,0,2191,0,4569,68525,6901,1621155405238
198,8383,4209,4836,1742,20,63,1,0,4037,0,2027,7000,3359,1621155406255
199,77218,34550,24624,12798,47,74,1,0,37590,0,16481,35003,7225,1621155408256
200,494056,93067,151345,72981,47,74,0,0,176405,0,225273,305504,294310,1621155409231
201,830369,120560,131686,48904,47,74,0,0,39748,0,445025,624030,360994,1621155410228
202,117559,12110,6266,2971,47,74,0,0,3970,0,16109,29826,5053,1621155411220
203,152,6,25,10,47,74,0,0,16,0,16,35,20,1621155412231
