,time,signals,value
341,08:52:16.206000,FAMILIARITY,0
342,08:52:16.201000,LOBETA,2900
343,08:52:16.201000,THETA,18008
344,08:52:16.201000,HIALPHA,7167
345,08:52:16.207000,RAW,66
346,08:52:16.403000,PITCH,2
347,08:52:16.403000,ROLL,113
348,08:52:16.403000,YAW,188
349,08:52:16.408000,RAW,44
350,08:52:16.408000,RAW,39
351,08:52:16.408000,RAW,42
352,08:52:16.408000,RAW,44
353,08:52:16.409000,RAW,43
354,08:52:16.409000,RAW,39
355,08:52:16.408000,RAW,38
356,08:52:16.407000,RAW,57
357,08:52:16.413000,RAW,37
358,08:52:16.414000,RAW,39
359,08:52:16.418000,RAW,43
360,08:52:16.418000,RAW,48
361,08:52:16.419000,RAW,50
362,08:52:16.420000,RAW,50
363,08:52:16.421000,RAW,52
364,08:52:16.421000,RAW,58
365,08:52:16.418000,RAW,27
366,08:52:16.422000,RAW,56
367,08:52:16.423000,RAW,43
368,08:52:16.423000,RAW,34
369,08:52:16.423000,RAW,38
370,08:52:16.423000,RAW,50
371,08:52:16.423000,RAW,55
372,08:52:16.414000,RAW,42
373,08:52:16.417000,RAW,29
374,08:52:16.426000,RAW,-1
375,08:52:16.427000,RAW,-3
376,08:52:16.427000,RAW,-2
377,08:52:16.409000,RAW,34
378,08:52:16.429000,RAW,7
379,08:52:16.430000,RAW,7
380,08:52:16.430000,RAW,13
381,08:52:16.432000,RAW,33
382,08:52:16.429000,RAW,2
383,08:52:16.429000,RAW,-4
384,08:52:16.418000,RAW,36
385,08:52:16.435000,RAW,34
386,08:52:16.436000,RAW,16
387,08:52:16.434000,RAW,41
388,08:52:16.435000,RAW,18
389,08:52:16.438000,RAW,25
390,08:52:16.447000,RAW,37
391,08:52:16.438000,RAW,24
392,08:52:16.426000,RAW,13
393,08:52:16.437000,RAW,24
394,08:52:16.426000,RAW,38
395,08:52:16.441000,RAW,37
396,08:52:16.441000,RAW,26
397,08:52:16.441000,RAW,10
398,08:52:16.441000,RAW,35
399,08:52:16.440000,RAW,13
400,08:52:16.443000,RAW,52
