,Delta,Theta,Alpha,Beta,Gamma,R
95,64409.01348068935,3132.8945599326853,1834.9570580898346,7863.51263669598,5489.716570640219,0.23335081189121484
96,98168.29935466383,1800.8425999203973,3901.930562542804,7893.217559704308,5991.7660896389025,0.4943396698530854
97,105439.80120953554,19115.637679425276,12797.355918588368,15362.833697743863,4159.967478409403,0.8330075147834053
98,92464.94612811036,3334.589265681413,6440.383304184866,5157.9241408966145,6592.526390536501,1.2486386244263992
99,93014.1688657127,9090.291118333378,2589.125554731494,8404.66867719773,3706.376781051422,0.30805801563075486
100,76708.85192526324,2761.2493456170123,5490.203023784098,6539.43660672706,4711.619188130391,0.8395529086001652
101,80297.53968591632,3025.3748978485473,5023.267197797448,4868.016304569965,2483.1546710860166,1.0318920240841711
102,100215.87314250019,2674.4538156083195,4194.479052330969,3691.2297619044425,2282.526410342469,1.1363364848269109
103,65363.39331788014,7449.701893699431,6841.195115144035,4886.31311980519,3898.928311815018,1.4000730095284568
104,69573.0930035192,9979.265174983311,2291.485674443,12228.423483223258,4165.603484138499,0.18739011431741756
105,85218.69302810349,3372.535964761089,6389.450419543857,9811.678279335749,5534.938032289401,0.6512087165557189
106,101329.18709162352,6480.406297155547,9263.54960406903,13258.579378114384,1102.4517613615938,0.6986834214953789
107,68335.06695887941,3526.1973896021545,3391.2137455909924,8639.324754000021,5645.619021909923,0.3925322686846394
108,92358.1080344656,9596.008360362515,3703.9382741452237,6826.349559037582,2573.19423646838,0.542594287343736
109,128476.69040743144,32049.089442940684,3026.056618926669,10187.211933819415,2847.5620960648944,0.2970446318958766
110,84709.27646875985,17663.099094662637,25726.311825176377,15826.796787896417,7475.342316209726,1.6254907528003797
111,153258.0657780549,37640.494782259935,18318.349611286634,14246.746199532048,5118.007332825405,1.2857918120200893
112,97591.081193983,4671.704901938687,7025.790354292025,17191.93930164939,4693.268977276564,0.40866770356837945
113,46894.152443572115,15210.112763196299,6122.020738865552,29738.277782080393,71981.98704507307,0.20586332482759112
114,114376.28694328573,31208.62662377762,12382.413460131967,6074.34286889551,5688.280246350187,2.0384778612906067
115,108439.23481681841,39180.07159809387,9303.753039024912,7505.079702732628,2867.0690111995923,1.2396607907624726
116,127551.78239674705,26308.682171814435,17221.40631875053,7308.597693764503,1366.1933314212642,2.3563215599407488
117,138348.40928730715,19930.172146251865,18543.05419010026,7762.940262509872,4848.035227409188,2.3886637746849053
118,98561.93109508642,1084.1449882127088,10628.213243401502,9597.972593850593,4519.338585785565,1.1073394031371775
119,76368.02232737774,18191.28309582432,4849.139678425042,5655.991959364408,3130.00262009617,0.8573455749696581
120,86935.46713820954,27821.26560961789,5834.604313666595,5278.5717929837,3624.407590578554,1.105337682708413
121,80970.56393281875,5684.370645003759,9977.39159763552,12603.073903974133,3508.191613205956,0.7916633413130542
122,69064.77600438388,27009.36244307821,10190.86403606811,11152.901505546626,3481.758346308261,0.9137410593108823
123,69675.67125714937,7104.288189845241,2968.2483072413675,11387.447358913776,1839.4317882862824,0.260659673207438
124,80927.96475861254,24017.645684963958,5170.197583812608,4985.641835284098,7647.568496454873,1.03701745023527
125,77194.55761024925,6058.292824353148,4148.417906526488,6052.3467907567665,3153.87877936689,0.6854230350550985
126,133595.41613471735,5623.10888996953,3152.296194960533,6274.342163593669,2300.4558968256206,0.5024106293168805
127,90839.52202934351,10225.465312085678,17099.911445736598,10082.128811380198,4857.516347072637,1.6960615923132305
128,104008.71684160833,21336.210499691355,13602.103007796371,7501.428837448319,2438.7177136948185,1.8132682856221367
129,91865.26321176572,5476.929726795953,5875.011006955586,11633.916563926537,5055.796013439329,0.5049899554181368
130,140886.29640948982,36013.19538355202,26675.481812817703,22508.33604846513,4211.86182538458,1.185137886487026
131,104612.8994918775,8432.498923690659,9428.882679817905,14989.642059327276,5065.248118777981,0.6290265399600253
132,69040.09522774194,16300.955776412677,4896.321289575572,7045.703851003904,7014.938277565111,0.6949371408617923
133,97992.520321686,22015.956906828003,8764.288726035302,5836.612766572495,4095.874790964828,1.5016053105716076
134,126955.64877620291,22507.795095750924,16278.91630759215,12391.125919852673,13167.711788069595,1.3137560228897829
135,82495.93808572258,9679.16680700951,11592.826150935443,10337.015657403912,1606.9470384781334,1.1214867554768628
136,137521.12863193508,71535.28598090526,14288.51098889856,8149.436634442093,4995.354737593869,1.7533127294358974
137,84960.87295393395,14027.779192275117,2487.3399388659436,11405.29328736569,3048.2196398463466,0.21808645128146906
138,149973.51126364444,63538.018135751874,5435.905017181377,7885.288451911802,2823.748421415017,0.6893730077640257
139,135208.4559725269,25607.492311440452,5257.411334960217,10358.40173903603,2022.399896671323,0.5075504375494013
140,72513.33166121054,3466.7181256584986,15398.419931779858,23858.97620227942,3917.888818532046,0.6453931552313941
141,109562.50028201196,67191.8809773869,10570.509553660195,10154.437124200886,5113.438874188127,1.0409744453946828
142,123163.3731219033,6037.371073302012,2653.323022601746,7190.5399007608685,1334.443052897413,0.36900191907995444
143,107053.67797889838,27764.386064545222,2304.869125115785,6140.901652546669,2353.0156931189367,0.375330734072242
144,80510.47493129618,17808.095680124472,4627.618771925019,5718.1573720365395,2907.2888004274973,0.8092849620675757
145,110357.9364776207,10354.361279523491,7697.237846145699,4586.094630914551,2758.2040270305492,1.6783861794432116
146,117419.1574459675,6355.022972727331,3867.303548659242,5627.298237240329,2553.5004351321118,0.6872398415044371
147,65203.499967483964,32885.598218067054,6424.620180524074,21649.34555134662,13114.368194693583,0.296758170600887
148,87088.32247419721,23497.845142443453,4489.064952204055,2660.0296355516116,6214.731123204293,1.687599601225178
