,time,value
544,08:52:16.596000,20
545,08:52:16.577000,42
546,08:52:16.563000,32
547,08:52:16.594000,20
548,08:52:16.561000,33
549,08:52:16.646000,34
550,08:52:16.645000,16
551,08:52:16.646000,22
552,08:52:16.648000,42
553,08:52:16.650000,57
554,08:52:16.650000,51
555,08:52:16.652000,64
556,08:52:16.652000,64
557,08:52:16.655000,59
558,08:52:16.655000,52
559,08:52:16.656000,64
560,08:52:16.655000,68
561,08:52:16.658000,86
562,08:52:16.659000,90
563,08:52:16.658000,80
564,08:52:16.659000,93
565,08:52:16.660000,101
566,08:52:16.659000,97
567,08:52:16.660000,97
568,08:52:16.655000,65
569,08:52:16.665000,98
570,08:52:16.665000,105
571,08:52:16.668000,72
572,08:52:16.667000,82
573,08:52:16.668000,76
574,08:52:16.669000,85
575,08:52:16.671000,61
576,08:52:16.672000,44
577,08:52:16.672000,52
578,08:52:16.673000,68
579,08:52:16.674000,32
580,08:52:16.673000,68
581,08:52:16.674000,43
582,08:52:16.674000,58
583,08:52:16.676000,39
584,08:52:16.673000,72
585,08:52:16.700000,38
586,08:52:16.700000,41
587,08:52:16.701000,44
588,08:52:16.700000,49
589,08:52:16.703000,51
590,08:52:16.703000,58
591,08:52:16.703000,38
592,08:52:16.704000,25
593,08:52:16.703000,56
594,08:52:16.705000,26
595,08:52:16.706000,41
596,08:52:16.706000,43
597,08:52:16.708000,40
598,08:52:16.708000,27
599,08:52:16.708000,33
600,08:52:16.708000,28
601,08:52:16.706000,35
602,08:52:16.708000,38
603,08:52:16.711000,54
604,08:52:16.710000,44
605,08:52:16.711000,53
606,08:52:16.712000,44
607,08:52:16.713000,26
608,08:52:16.713000,28
609,08:52:16.711000,48
610,08:52:16.712000,34
611,08:52:16.738000,38
612,08:52:16.739000,41
613,08:52:16.739000,33
614,08:52:16.741000,26
615,08:52:16.741000,38
616,08:52:16.742000,38
617,08:52:16.742000,29
618,08:52:16.742000,38
619,08:52:16.742000,43
620,08:52:16.744000,49
621,08:52:16.742000,43
622,08:52:16.741000,22
623,08:52:16.760000,58
624,08:52:16.759000,48
625,08:52:16.760000,66
626,08:52:16.760000,53
627,08:52:16.762000,36
628,08:52:16.762000,17
629,08:52:16.764000,5
630,08:52:16.765000,37
631,08:52:16.765000,35
632,08:52:16.766000,26
633,08:52:16.764000,10
634,08:52:16.765000,32
635,08:52:16.775000,34
636,08:52:16.776000,41
637,08:52:16.776000,49
638,08:52:16.776000,44
639,08:52:16.776000,39
640,08:52:16.776000,57
641,08:52:16.776000,60
642,08:52:16.776000,41
643,08:52:16.776000,54
644,08:52:16.776000,39
645,08:52:16.777000,33
646,08:52:16.777000,22
647,08:52:16.775000,27
648,08:52:16.813000,22
649,08:52:16.813000,41
650,08:52:16.813000,52
651,08:52:16.814000,55
652,08:52:16.814000,50
653,08:52:16.813000,32
654,08:52:16.814000,13
655,08:52:16.813000,57
656,08:52:16.814000,35
657,08:52:16.813000,52
658,08:52:16.814000,51
659,08:52:16.814000,50
660,08:52:16.832000,1
661,08:52:16.832000,5
662,08:52:16.832000,2
663,08:52:16.832000,3
664,08:52:16.833000,4
665,08:52:16.833000,-4
666,08:52:16.833000,52
667,08:52:16.833000,6
668,08:52:16.832000,0
669,08:52:16.832000,-3
670,08:52:16.832000,6
671,08:52:16.833000,27
672,08:52:16.833000,58
673,08:52:16.867000,67
674,08:52:16.867000,72
675,08:52:16.868000,50
676,08:52:16.868000,28
677,08:52:16.868000,49
678,08:52:16.868000,28
679,08:52:16.868000,52
680,08:52:16.867000,38
681,08:52:16.868000,45
682,08:52:16.868000,44
683,08:52:16.867000,44
684,08:52:16.867000,50
685,08:52:16.868000,42
688,08:52:16.888000,48
689,08:52:16.888000,17
690,08:52:16.889000,27
691,08:52:16.889000,25
692,08:52:16.889000,24
693,08:52:16.889000,23
694,08:52:16.889000,22
695,08:52:16.889000,51
697,08:52:16.889000,34
698,08:52:16.889000,21
699,08:52:16.958000,56
700,08:52:16.959000,43
701,08:52:16.958000,50
